"","PWSID","PWS_NAME","NPM_CANDIDATE","PRIMACY_AGENCY_CODE","EPA_REGION","SEASON_BEGIN_DATE","SEASON_END_DATE","PWS_ACTIVITY_CODE","PWS_DEACTIVATION_DATE","PWS_TYPE_CODE","CDS_ID","GW_SW_CODE","OWNER_TYPE_CODE","POPULATION_SERVED_COUNT","PRIMACY_TYPE","PRIMARY_SOURCE_CODE","IS_GRANT_ELIGIBLE_IND","IS_WHOLESALER_IND","IS_SCHOOL_OR_DAYCARE_IND","SERVICE_CONNECTIONS_COUNT","SUBMISSION_STATUS_CODE","ORG_NAME","CITY_NAME","ZIP_CODE","STATE_CODE","SOURCE_WATER_PROTECTION_CODE","SOURCE_PROTECTION_BEGIN_DATE","OUTSTANDING_PERFORMER","OUTSTANDING_PERFORM_BEGIN_DATE","CITIES_SERVED","COUNTIES_SERVED","PWSID_STATE"
"1","NH2342110","MILL BROOK VILLAGE","Y","NH","1","","","A","","CWS",NA,"GW","P","95","State","GW","Y","N","N","38","Y","MOUNTAIN RIVER DEV ASSOC LLC","PHILADELPHIA","19129","PA","","","","","THORNTON","Grafton","NH"
"3","MD1071115","INDIAN ACRES CLUB OF CHESAPEAKE BAY","Y","MD","3","","","A","","CWS",NA,"GW","P","490","State","GW","Y","N","N","600","Y","BEHRLE, JOSEPH","MEDIA","19063","PA","Y","01-JAN-07","N","","Not Reported","Cecil","MD"
"18","NY5301416","MAPLE LANE TRAILER COURT","Y","NY","2","","","A","","CWS",NA,"GW","P","200","State","GW","Y","N","N","60","Y","DISISTI, JOHN","SAYRE","18840","PA","Y","23-JUN-09","","","BARTON (T)","Tioga","NY"
"36","PA5040048","FOREST BROOK MHP","Y","PA","3","","","A","","CWS",NA,"GW","P","200","State","GW","Y","N","N","131","Y","FOREST BROOK MHP","BADEN","15005","PA","","","","","Not Reported","Beaver","PA"
"37","PA5040049","WHISPERING WOODS","Y","PA","3","","","A","","CWS",NA,"GW","P","100","State","GW","Y","N","N","38","Y","WHISPERING WOODS","BUTLER","16001","PA","","","","","Not Reported","Beaver","PA"
"38","PA5040050","PENN HILLS ESTATE OF ROCHESTER","Y","PA","3","","","A","","CWS",NA,"GW","P","27","State","GW","Y","N","N","25","Y","PENN HILLS ESTATE OF ROCHESTER","NEW BRIGHTON","15066","PA","","","","","Not Reported","Beaver","PA"
"39","PA5040051","LITTLE CREEK ESTATES M H P","Y","PA","3","","","A","","CWS",NA,"GW","P","60","State","GW","Y","N","N","35","Y","LITTLE CREEK ESTATES M H P","SEWICKLEY","15143","PA","","","","","Not Reported","Beaver","PA"
"40","PA5040006","MUN WATER AUTH OF ALIQUIPPA","Y","PA","3","","","A","","CWS",NA,"GW","L","15685","State","GW","Y","N","N","6154","Y","MUN WATER AUTH OF ALIQUIPPA","ALIQUIPPA","15001","PA","","","","","Not Reported","Beaver","PA"
"41","PA5040007","CENTER TWP WATER AUTH","Y","PA","3","","","A","","CWS",NA,"SW","L","19000","State","SW","Y","N","N","4819","Y","CENTER TWP WATER AUTH","ALIQUIPPA","15001","PA","","","","","Not Reported","Beaver","PA"
"42","PA5040008","AMBRIDGE WATER AUTH","Y","PA","3","","","A","","CWS",NA,"SW","L","19500","State","SW","Y","N","N","7307","Y","AMBRIDGE WATER AUTH","AMBRIDGE","15003","PA","","","","","Not Reported","Beaver","PA"
"43","PA4410030","HARVEST MOON TRAILER COURT","Y","PA","3","","","A","","CWS",NA,"GW","P","360","State","GW","Y","N","N","170","Y","HARVEST MOON TRAILER COURT","LINDEN","17744","PA","","","","","Not Reported","Lycoming","PA"
"44","PA4410031","CARPENTERS PARK INC","Y","PA","3","","","A","","CWS",NA,"GW","P","120","State","GW","Y","N","N","50","Y","CARPENTERS PARK INC","LINDEN","17744","PA","","","","","Not Reported","Lycoming","PA"
"45","PA4410033","TWIN HILLS MOBILE HOME PARK","Y","PA","3","","","A","","CWS",NA,"GW","P","225","State","GW","Y","N","N","112","Y","TWIN HILLS MOBILE HOME PARK","MORGANTOWN","19543","PA","","","","","Not Reported","Lycoming","PA"
"46","PA4410152","COGAN VALLEY MOBILE HOME PARK","Y","PA","3","","","A","","CWS",NA,"GW","P","250","State","GW","Y","N","N","77","Y","COGAN VALLEY MOBILE HOME PARK","COGAN STATION","17728","PA","","","","","Not Reported","Lycoming","PA"
"47","PA4410153","OAK LYNN MANOR MOBILE HOME PK","Y","PA","3","","","A","","CWS",NA,"GW","P","250","State","GW","Y","N","N","86","Y","OAK LYNN MANOR MOBILE HOME PK","WILLIAMSPORT","17701","PA","","","","","Not Reported","Lycoming","PA"
"55","PA7360130","PARADISE MEADOWS","Y","PA","3","","","A","","CWS",NA,"SW","P","90","State","GU","Y","N","N","1","Y","PARADISE MEADOWS","PARADISE","17562","PA","","","","","Not Reported","Lancaster","PA"
"77","PA4490004","BUCKNELL VIEW MHP","Y","PA","3","","","A","","CWS",NA,"GW","P","100","State","GW","Y","N","N","36","Y","BUCKNELL VIEW MHP","MORGANTOWN","19543","PA","","","","","Not Reported","Northumberland","PA"
"78","PA4490007","MUNICIPAL AUTHORITY SUNBURY","Y","PA","3","","","A","","CWS",NA,"SW","L","11043","State","SW","Y","N","N","4331","Y","MUNICIPAL AUTHORITY SUNBURY","SUNBURY","17801","PA","","","","","Not Reported","Northumberland","PA"
"79","PA4490011","AQUA PA EAST CAMERON","Y","PA","3","","","A","","CWS",NA,"GW","M","200","State","GW","Y","N","N","53","Y","AQUA PA EAST CAMERON","BRYN MAWR","19010","PA","","","","","Not Reported","Northumberland","PA"
"80","PA4490016","TURBOTVILLE MUN WATER","Y","PA","3","","","A","","CWS",NA,"SW","L","705","State","GU","Y","N","N","320","Y","TURBOTVILLE MUN WATER","TURBOTVILLE","17772","PA","","","","","Not Reported","Northumberland","PA"
"81","PA4490018","LOWER MAHANOY TWP MUN AUTH","Y","PA","3","","","A","","CWS",NA,"GW","P","450","State","GW","Y","N","N","183","Y","LOWER MAHANOY TWP MUN AUTH","DALMATIA","17017","PA","","","","","Not Reported","Northumberland","PA"
"82","PA4490019","KIPPS RUN MOBILE COURT","Y","PA","3","","","A","","CWS",NA,"GW","P","19","State","GW","Y","N","N","29","Y","KIPPS RUN MOBILE COURT","BARTO","19504","PA","","","","","Not Reported","Northumberland","PA"
"83","PA4490020","HERNDON BORO JACKSON TWP JMA","Y","PA","3","","","A","","CWS",NA,"GW","L","432","State","GW","Y","N","N","213","Y","HERNDON BORO JACKSON TWP JMA","HERNDON","17830","PA","","","","","Not Reported","Northumberland","PA"
"84","PA4490021","D AND H TRAILER PARK","Y","PA","3","","","A","","CWS",NA,"GW","P","50","State","GW","Y","N","N","20","Y","D AND H TRAILER PARK","MORGANTOWN","19543","PA","","","","","Not Reported","Northumberland","PA"
"85","PA4490023","PA AMERICAN WHITE DEER","Y","PA","3","","","A","","CWS",NA,"SW","P","30209","State","SW","Y","N","N","12589","Y","PA AMERICAN WHITE DEER","MILTON","17847","PA","","","","","Not Reported","Northumberland","PA"
"86","PA4490024","AQUA PA ROARING CREEK DIVISION","Y","PA","3","","","A","","CWS",NA,"SW","P","43000","State","SW","Y","N","N","17567","Y","AQUA PA ROARING CREEK DIVISION","SHAMOKIN","17872","PA","","","","","Not Reported","Northumberland","PA"
