"","PGM_SYS_ACRNM","PGM_SYS_ID","REGISTRY_ID","PRIMARY_NAME","LOCATION_ADDRESS","SUPPLEMENTAL_LOCATION","CITY_NAME","COUNTY_NAME","FIPS_CODE","STATE_CODE","STATE_NAME","COUNTRY_NAME","POSTAL_CODE"
"1","NPDES","PAG103561",110057197876,"COLUMBIA GAS TRANS LLC - LINE 1655 NORTH REPLACEMENT PROJECT","INTERSECTION OF ROUTE 30 AND WOODS ROAD","","ABBOTTSTOWN","ADAMS","PA001","PA","PENNSYLVANIA","USA","17301"
"2","NPDES","PAG106175",110057197901,"BAILEY EAST MINE PANEL 1L PROJECT","GREENE COUNTY","RICHHILL","GREENE COUNTY","GREENE","PA059","PA","PENNSYLVANIA","USA","15380"
"3","NPDES","PA0262153",110057194281,"POINT VIEW COTTAGE ASSOCIATION PERMIT#1 SFTF","POINT VIEW DRIVE","","CATHARINE, TOWNSHIP OF","BLAIR","PA013","PA","PENNSYLVANIA","USA","16693"
"4","NPDES","PAG130046",110057198401,"WEST ROCKHILL TWP MS4","1028 RIDGE RD","","SELLERSVILLE","BUCKS","PA017","PA","PENNSYLVANIA","USA","18960-1346"
"5","NPDES","PAG133685",110055235696,"MS4 WRIGHTSVILLE BORO","601 WATER ST","PO BOX 187","WRIGHTSVILLE","YORK","PA133","PA","PENNSYLVANIA","USA","17368-1646"
"6","NPDES","PAG132295",110055235035,"WEST ABINGTON TWP. MS4","RR# 3 BOX 26","","DALTON","LACKAWANNA","PA069","PA","PENNSYLVANIA","USA","18414"
"7","NPDES","PAG132301",110000976837,"HANOVER TWP LEHIGH COUNTY MS4","2202 GROVE ROAD","","ALLENTOWN","LEHIGH","PA077","PA","PENNSYLVANIA","USA","18103"
"8","NPDES","PAG133545",110020622575,"MS4 WEST HANOVER TWP","7171 ALLENTOWN BLVD","","HARRISBURG","DAUPHIN","PA043","PA","PENNSYLVANIA","USA","17112"
"9","NPDES","PAG133553",110055235124,"MS4 MECHANICSBURG BORO","36 W ALLEN ST","","MECHANICSBURG","CUMBERLAND","PA041","PA","PENNSYLVANIA","USA","17055"
"10","NPDES","PAG133596",110055235142,"MS4 YORK CITY","101 S GEORGE ST","","YORK","YORK","PA133","PA","PENNSYLVANIA","USA","17401"
"11","NPDES","PAG133653",110055235197,"MS4 YORKANA BORO","1 BLUESTONE RD","","YORKANA","YORK","PA133","PA","PENNSYLVANIA","USA","17406-8203"
"12","NPDES","PAG133660",110020623100,"MS4 SHIREMANSTOWN TWP","1 PARK LN","","SHIREMANSTOWN","CUMBERLAND","PA041","PA","PENNSYLVANIA","USA","17011"
"13","NPDES","PAR230098",110043569466,"MATHESON TRI-GAS PALM FAC","1401 STAUFFER RD","","PALM","MONTGOMERY","PA091","PA","PENNSYLVANIA","USA","18070-1000"
"14","NPDES","PAG041099",110055235491,"ADAM M BOGDA SRSTP","5676 OLD STATE ROAD","","EDINBORO","ERIE","PA049","PA","PENNSYLVANIA","USA","16412"
"15","NPDES","PAI132233",110055638939,"LEHMAN TWP LUZERNE CNTY MS4","P.O. BOX 262","","LEHMAN","LUZERNE","PA079","PA","PENNSYLVANIA","USA","18627"
