"","ENFORCEMENT_ACTION.PWSID","ENFORCEMENT_ACTION.ENFORCEMENT_ID","ENFORCEMENT_ACTION.ORIGINATOR_CODE","ENFORCEMENT_ACTION.ENFORCEMENT_DATE","ENFORCEMENT_ACTION.ENFORCEMENT_ACTION_TYPE_CODE","ENFORCEMENT_ACTION.ENFORCEMENT_COMMENT_TEXT","X"
"1","NH2342110","1000040","S","27-OCT-09","SIF",NA,NA
"2","NH2342110","1000041","S","27-OCT-09","SIF",NA,NA
"3","NH2342110","1000042","S","29-OCT-09","SOX",NA,NA
"4","NH2342110","1000043","S","16-FEB-10","SOX",NA,NA
"5","NH2342110","1200044","S","10-JUL-12","SIA",NA,NA
"6","NH2342110","1200045","S","13-JUL-12","SOX",NA,NA
"7","NH2342110","1400046","S","09-JUN-14","SIA",NA,NA
"8","NH2342110","1400047","S","09-JUN-14","SIE",NA,NA
"9","NH2342110","1400048","S","18-JUL-14","SIF",NA,NA
"10","NH2342110","1400049","S","01-AUG-14","SIA",NA,NA
"11","NH2342110","1400050","S","01-AUG-14","SIE",NA,NA
"12","NH2342110","1400051","S","08-AUG-14","SIF",NA,NA
"13","NH2342110","1400052","S","12-SEP-14","SFJ",NA,NA
"14","NH2342110","1500053","S","16-JAN-15","SIA",NA,NA
"15","NH2342110","1500054","S","16-JAN-15","SIE",NA,NA
"16","NH2342110","1500055","S","03-MAR-15","SIA",NA,NA
"17","NH2342110","1500056","S","08-MAR-15","SIF",NA,NA
"18","NH2342110","1500057","S","08-MAR-15","SOX",NA,NA
"19","NH2342110","1500058","S","23-JUL-15","SOX",NA,NA
"20","NH2342110","1700059","S","09-OCT-17","SIA",NA,NA
"21","NH2342110","1700060","S","09-OCT-17","SIE",NA,NA
"22","NH2342110","1800061","S","27-OCT-17","SIF",NA,NA
"23","NH2342110","1800062","S","08-NOV-17","SIA",NA,NA
"24","NH2342110","1800063","S","08-NOV-17","SIE",NA,NA
"25","NH2342110","1800064","S","27-OCT-17","SIF",NA,NA
"26","NH2342110","1800065","S","22-JAN-18","SFJ",NA,NA
"27","NH2342110","1800066","S","22-JAN-18","SFJ",NA,NA
"28","NH2342110","1800067","S","26-JUL-18","SIA",NA,NA
"29","NH2342110","1800068","S","26-JUL-18","SIE",NA,NA
"30","NH2342110","1800069","S","31-JUL-18","SIA",NA,NA
"31","NH2342110","1800070","S","31-JUL-18","SIE",NA,NA
"32","NH2342110","1800071","S","31-JUL-18","SOX",NA,NA
"33","NH2342110","1800072","S","03-AUG-18","SIF",NA,NA
"34","NH2342110","1800073","S","06-AUG-18","SIF",NA,NA
"35","NH2342110","1900074","S","17-DEC-18","SOX",NA,NA
"36","NH2342110","900034","S","16-JUL-09","SIA",NA,NA
"37","NH2342110","900035","S","31-JUL-09","SOX",NA,NA
"38","NH2342110","900036","S","26-AUG-09","SIA",NA,NA
"39","NH2342110","900037","S","26-AUG-09","SIE",NA,NA
"40","NH2342110","900038","S","21-SEP-09","SIA",NA,NA
"41","NH2342110","900039","S","21-SEP-09","SIE",NA,NA
"42","MD1071115","15","S","23-MAR-09","SIA","ENFORCEMENTID :0944395; 2009 MONITORING SCHEDULE",NA
