GISJOIN,YEAR,ANRCA,AIANHHA,RES_ONLYA,TRUSTA,RES_TRSTA,BLCK_GRPA,TRACTA,CDA,C_CITYA,COUNTY,COUNTYA,CTY_SUBA,DIVISIONA,MSA_CMSAA,PLACEA,PMSAA,REGIONA,STATE,STATEA,URBRURALA,URB_AREAA,ZIPA,CD103A,ANPSADPI,E4T001,E4T002,E4T003,E4T004,E4T005,E4T006,E4T007,E4T008,E4T009,E4T010,E4T011,E4T012,E4T013,E4T014,E4T015,E4T016,E4T017,E4T018,E4T019,E4T020,E4T021,E4T022,E4T023,E4T024,E4T025
GIS Join Match Code,Data File Year,Alaska Native Regional Corporation Code,American Indian Area/Alaska Native Area/Hawaiian Home Land Code,American Indian Reservation [excluding trust lands] Code,American Indian Reservation [trust lands only] Code,Reservation/Trust Lands Code,Block Group Code,Census Tract Code,Congressional District (101st) Code,Consolidated City Code,County Name,County Code,County Subdivision Code,Division Code,Metropolitan Statistical Area/Consolidated Metropolitan Statistical Area Code,Place Code,Primary Metropolitan Statistical Area Code,Region Code,State Name,State Code,Urban/Rural Code,Urban Area Code,5-Digit ZIP Code Code,Congressional District (103rd) Code,Area Name/PSAD Term/Part Indicator,"Less than $5,000","$5,000 to $9,999","$10,000 to $12,499","$12,500 to $14,999","$15,000 to $17,499","$17,500 to $19,999","$20,000 to $22,499","$22,500 to $24,999","$25,000 to $27,499","$27,500 to $29,999","$30,000 to $32,499","$32,500 to $34,999","$35,000 to $37,499","$37,500 to $39,999","$40,000 to $42,499","$42,500 to $44,999","$45,000 to $47,499","$47,500 to $49,999","$50,000 to $54,999","$55,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 or more"
"G420001003011","1990",,,,,,"1","0301",,,"Adams","001",,"2","9280",,"9999","1","Pennsylvania","42",,,,,"BG 1",18,31,26,17,26,24,39,18,37,39,36,20,40,23,37,26,19,24,64,37,71,35,0,0,10
"G420001003012","1990",,,,,,"2","0301",,,"Adams","001",,"2","9280",,"9999","1","Pennsylvania","42",,,,,"BG 2",6,53,29,5,34,0,36,23,53,72,71,57,23,25,44,33,7,19,24,67,65,0,10,0,7
"G420001003013","1990",,,,,,"3","0301",,,"Adams","001",,"2","9280",,"9999","1","Pennsylvania","42",,,,,"BG 3",13,36,29,19,51,32,17,62,22,33,61,65,27,17,8,0,13,0,0,6,56,0,0,0,0
"G420001003021","1990",,,,,,"1","0302",,,"Adams","001",,"2","9280",,"9999","1","Pennsylvania","42",,,,,"BG 1",18,41,26,27,13,20,32,29,22,29,35,31,39,30,31,24,29,23,29,14,28,19,4,8,2
"G420001003022","1990",,,,,,"2","0302",,,"Adams","001",,"2","9280",,"9999","1","Pennsylvania","42",,,,,"BG 2",22,60,37,41,43,41,48,46,76,53,42,62,48,47,46,23,26,24,47,37,39,15,2,0,2
"G420001003031","1990",,,,,,"1","0303",,,"Adams","001",,"2","9280",,"9999","1","Pennsylvania","42",,,,,"BG 1",15,57,18,34,27,49,38,37,43,18,38,44,21,26,17,22,6,10,26,18,30,16,5,0,5
"G420001003032","1990",,,,,,"2","0303",,,"Adams","001",,"2","9280",,"9999","1","Pennsylvania","42",,,,,"BG 2",10,41,28,27,21,17,31,33,31,17,50,17,16,12,19,27,18,16,37,12,25,14,2,2,2
"G420001003041","1990",,,,,,"1","0304",,,"Adams","001",,"2","9280",,"9999","1","Pennsylvania","42",,,,,"BG 1",25,6,16,0,47,50,9,8,34,12,11,13,16,42,0,18,17,8,0,24,11,9,0,0,0
"G420001003042","1990",,,,,,"2","0304",,,"Adams","001",,"2","9280",,"9999","1","Pennsylvania","42",,,,,"BG 2",16,17,24,15,11,11,10,17,14,13,16,9,16,4,15,13,5,1,22,17,24,6,6,2,0
