GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,AIANHHA,URBRURALA,NAME,HF5001,HF5002,HF5003,HF5004,HF5005,HF5006,HF5007,HF5008,HF5009,HF5010,HF5011,HF5012,HF5013,HF5014,HF5015,HF5016
GIS Join Match Code,Data File Year,State Name,State Code,County Name,County Code,County Subdivision Code,Place Code,Census Tract Code,Block Group Code,American Indian Area/Alaska Native Area/Hawaiian Home Land Code,Urban/Rural Code,Area Name-Legal/Statistical Area Description (LSAD) Term-Part Indicator,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more"
"G42000100301011","2000","Pennsylvania","42","Adams","001",,,"030101","1",,,"Block Group 1",45,41,28,44,64,59,62,30,56,106,177,127,24,21,21,5
"G42000100301022","2000","Pennsylvania","42","Adams","001",,,"030102","2",,,"Block Group 2",33,52,63,39,47,95,75,62,71,154,155,170,54,23,7,0
"G42000100301023","2000","Pennsylvania","42","Adams","001",,,"030102","3",,,"Block Group 3",35,25,26,31,41,80,42,76,64,78,87,109,17,0,0,0
"G42000100302001","2000","Pennsylvania","42","Adams","001",,,"030200","1",,,"Block Group 1",22,40,58,59,62,40,61,67,72,85,91,71,31,10,10,0
"G42000100302002","2000","Pennsylvania","42","Adams","001",,,"030200","2",,,"Block Group 2",60,48,65,86,58,67,84,74,91,150,103,90,36,2,7,1
"G42000100303001","2000","Pennsylvania","42","Adams","001",,,"030300","1",,,"Block Group 1",55,36,33,52,77,51,49,56,51,66,59,77,38,10,6,0
"G42000100303002","2000","Pennsylvania","42","Adams","001",,,"030300","2",,,"Block Group 2",55,29,38,41,24,37,32,58,31,72,42,49,50,6,0,0
"G42000100304001","2000","Pennsylvania","42","Adams","001",,,"030400","1",,,"Block Group 1",22,31,55,49,40,23,27,33,75,70,21,32,15,12,0,0
"G42000100304002","2000","Pennsylvania","42","Adams","001",,,"030400","2",,,"Block Group 2",14,21,8,21,23,32,32,34,21,43,32,28,9,2,0,4
"G42000100304003","2000","Pennsylvania","42","Adams","001",,,"030400","3",,,"Block Group 3",40,43,41,19,31,53,33,17,35,62,57,30,11,0,8,7
"G42000100304004","2000","Pennsylvania","42","Adams","001",,,"030400","4",,,"Block Group 4",14,33,8,26,47,15,17,42,33,70,69,39,22,0,9,4
"G42000100304005","2000","Pennsylvania","42","Adams","001",,,"030400","5",,,"Block Group 5",7,0,8,6,0,12,40,11,24,40,46,27,12,0,10,0
"G42000100305001","2000","Pennsylvania","42","Adams","001",,,"030500","1",,,"Block Group 1",34,18,30,54,69,45,35,36,41,71,63,80,12,8,0,3
"G42000100305002","2000","Pennsylvania","42","Adams","001",,,"030500","2",,,"Block Group 2",35,71,64,63,38,48,70,44,38,107,137,61,20,14,5,2
"G42000100306001","2000","Pennsylvania","42","Adams","001",,,"030600","1",,,"Block Group 1",21,45,45,23,28,36,41,38,33,59,65,18,14,11,0,5
"G42000100306002","2000","Pennsylvania","42","Adams","001",,,"030600","2",,,"Block Group 2",54,43,7,41,24,34,31,22,29,54,53,28,11,8,5,0
"G42000100306003","2000","Pennsylvania","42","Adams","001",,,"030600","3",,,"Block Group 3",40,29,10,39,82,26,38,71,30,112,89,134,34,17,5,4
"G42000100307001","2000","Pennsylvania","42","Adams","001",,,"030700","1",,,"Block Group 1",60,88,34,88,89,57,58,106,41,99,121,101,13,7,0,0
"G42000100307002","2000","Pennsylvania","42","Adams","001",,,"030700","2",,,"Block Group 2",14,48,58,94,15,17,53,61,20,94,67,58,47,0,15,0
"G42000100307003","2000","Pennsylvania","42","Adams","001",,,"030700","3",,,"Block Group 3",42,26,36,30,37,26,52,35,50,56,55,34,15,3,4,0
"G42000100308001","2000","Pennsylvania","42","Adams","001",,,"030800","1",,,"Block Group 1",26,28,28,46,58,57,47,45,22,79,54,28,28,7,8,2
"G42000100308002","2000","Pennsylvania","42","Adams","001",,,"030800","2",,,"Block Group 2",30,25,47,25,42,32,36,54,52,66,105,81,21,14,12,6
"G42000100308003","2000","Pennsylvania","42","Adams","001",,,"030800","3",,,"Block Group 3",17,29,31,15,15,18,35,36,23,77,70,49,13,5,0,2
"G42000100308004","2000","Pennsylvania","42","Adams","001",,,"030800","4",,,"Block Group 4",32,22,37,26,58,43,40,62,50,89,64,76,31,19,10,9
"G42000100309001","2000","Pennsylvania","42","Adams","001",,,"030900","1",,,"Block Group 1",47,36,43,19,54,56,60,63,22,72,68,43,19,12,4,0
