GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,JOHE001,JOHE002,JOHE003,JOHE004,JOHE005,JOHE006,JOHE007,JOHE008,JOHE009,JOHE010,JOHE011,JOHE012,JOHE013,JOHE014,JOHE015,JOHE016,JOHE017,NAME_M,JOHM001,JOHM002,JOHM003,JOHM004,JOHM005,JOHM006,JOHM007,JOHM008,JOHM009,JOHM010,JOHM011,JOHM012,JOHM013,JOHM014,JOHM015,JOHM016,JOHM017
GIS Join Match Code,Data File Year,Region Code,Division Code,State Name,State Code,County Name,County Code,County Subdivision Code,Place Code,Census Tract Code,Block Group Code,Consolidated City Code,American Indian Area/Alaska Native Area/Hawaiian Home Land Code,American Indian Area/Alaska Native Area (Reservation or Statistical Entity Only) Code,American Indian Reservation with Trust Lands; trust lands only Code,Tribal Subdivision/Remainder Code,Alaska Native Regional Corporation Code,Metropolitan Statistical Area/Micropolitan Statistical Area Code,Combined Statistical Area Code,Metropolitan Division Code,New England City and Town Area Code,Combined New England City and Town Area Code,New England City and Town Area Division Code,Urban Area Code,Congressional District (111th Congress) Code,State Legislative District (Upper Chamber) Code,State Legislative District (Lower Chamber) Code,Subminor Civil Division Code,School District (Elementary)/Remainder Code,School District (Secondary)/Remainder Code,School District (Unified)/Remainder Code,Public Use Microdata Sample Area (PUMA) Code,Tribal Census Tract Code,Tribal Block Group Code,Estimates: Area Name,Estimates: Total,"Estimates: Less than $10,000","Estimates: $10,000 to $14,999","Estimates: $15,000 to $19,999","Estimates: $20,000 to $24,999","Estimates: $25,000 to $29,999","Estimates: $30,000 to $34,999","Estimates: $35,000 to $39,999","Estimates: $40,000 to $44,999","Estimates: $45,000 to $49,999","Estimates: $50,000 to $59,999","Estimates: $60,000 to $74,999","Estimates: $75,000 to $99,999","Estimates: $100,000 to $124,999","Estimates: $125,000 to $149,999","Estimates: $150,000 to $199,999","Estimates: $200,000 or more",Margins of error: Area Name,Margins of error: Total,"Margins of error: Less than $10,000","Margins of error: $10,000 to $14,999","Margins of error: $15,000 to $19,999","Margins of error: $20,000 to $24,999","Margins of error: $25,000 to $29,999","Margins of error: $30,000 to $34,999","Margins of error: $35,000 to $39,999","Margins of error: $40,000 to $44,999","Margins of error: $45,000 to $49,999","Margins of error: $50,000 to $59,999","Margins of error: $60,000 to $74,999","Margins of error: $75,000 to $99,999","Margins of error: $100,000 to $124,999","Margins of error: $125,000 to $149,999","Margins of error: $150,000 to $199,999","Margins of error: $200,000 or more"
"G42000100301011","2006-2010",,,"Pennsylvania","42","Adams County","001",,,"030101","1",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 301.01, Adams County, Pennsylvania",915,15,26,7,31,36,41,24,9,30,143,115,224,83,75,47,9,"Block Group 1, Census Tract 301.01, Adams County, Pennsylvania",47,17,19,11,20,25,25,22,12,22,48,56,62,34,39,28,10
"G42000100301021","2006-2010",,,"Pennsylvania","42","Adams County","001",,,"030102","1",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 301.02, Adams County, Pennsylvania",408,0,0,16,16,24,0,0,10,27,48,51,95,97,10,0,14,"Block Group 1, Census Tract 301.02, Adams County, Pennsylvania",75,109,109,27,26,27,109,109,16,35,38,42,59,60,17,109,21
"G42000100301022","2006-2010",,,"Pennsylvania","42","Adams County","001",,,"030102","2",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 301.02, Adams County, Pennsylvania",944,14,11,0,32,0,13,31,82,32,74,193,139,150,90,33,50,"Block Group 2, Census Tract 301.02, Adams County, Pennsylvania",115,21,18,109,36,109,21,36,57,36,57,105,70,73,55,35,50
"G42000100301023","2006-2010",,,"Pennsylvania","42","Adams County","001",,,"030102","3",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 301.02, Adams County, Pennsylvania",868,34,64,70,26,27,35,31,111,60,111,100,96,70,16,0,17,"Block Group 3, Census Tract 301.02, Adams County, Pennsylvania",127,38,63,48,30,31,35,34,63,62,55,64,59,94,26,109,27
"G42000100302001","2006-2010",,,"Pennsylvania","42","Adams County","001",,,"030200","1",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 302, Adams County, Pennsylvania",1249,11,76,41,74,52,162,65,67,62,167,173,185,75,21,9,9,"Block Group 1, Census Tract 302, Adams County, Pennsylvania",84,12,25,30,39,26,54,35,32,27,49,53,53,40,16,14,10
"G42000100302002","2006-2010",,,"Pennsylvania","42","Adams County","001",,,"030200","2",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 302, Adams County, Pennsylvania",862,13,18,69,23,39,52,48,37,67,74,69,169,93,52,25,14,"Block Group 2, Census Tract 302, Adams County, Pennsylvania",79,14,16,45,18,27,38,26,24,34,34,34,52,40,39,29,15
"G42000100303001","2006-2010",,,"Pennsylvania","42","Adams County","001",,,"030300","1",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 303, Adams County, Pennsylvania",792,10,29,36,19,62,71,60,48,35,52,101,80,100,38,31,20,"Block Group 1, Census Tract 303, Adams County, Pennsylvania",86,15,27,28,26,37,57,47,42,28,40,53,48,48,24,32,25
"G42000100303002","2006-2010",,,"Pennsylvania","42","Adams County","001",,,"030300","2",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 303, Adams County, Pennsylvania",646,16,0,51,9,13,87,38,60,50,62,116,86,26,32,0,0,"Block Group 2, Census Tract 303, Adams County, Pennsylvania",77,19,109,42,15,16,49,29,56,38,33,58,36,24,31,109,109
"G42000100304001","2006-2010",,,"Pennsylvania","42","Adams County","001",,,"030400","1",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 304, Adams County, Pennsylvania",537,41,13,63,37,0,0,59,52,0,15,117,52,12,30,17,29,"Block Group 1, Census Tract 304, Adams County, Pennsylvania",98,39,22,74,40,109,109,50,50,109,23,74,47,20,34,27,30
