GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
1500000US420010301011,420010301011,"Block Group 1, Census Tract 301.01, Adams County, Pennsylvania",979,61,17,15,0,10,31,22,43,30,21,19,66,38,37,22,5,8,16,15,129,47,125,38,150,47,149,54,94,35,61,36,35,19
1500000US420010301021,420010301021,"Block Group 1, Census Tract 301.02, Adams County, Pennsylvania",364,89,0,10,10,16,0,10,0,10,45,41,0,10,0,10,46,45,16,25,0,10,48,52,102,84,36,40,61,43,0,10,0,10
1500000US420010301022,420010301022,"Block Group 2, Census Tract 301.02, Adams County, Pennsylvania",802,103,0,10,0,10,0,10,21,35,37,35,49,41,0,10,11,18,38,43,80,52,101,78,159,78,162,72,44,46,34,39,66,61
1500000US420010301023,420010301023,"Block Group 3, Census Tract 301.02, Adams County, Pennsylvania",969,128,15,24,0,10,59,71,12,20,37,60,39,42,101,65,42,43,36,56,42,41,203,103,164,112,127,85,53,52,39,39,0,10
1500000US420010302001,420010302001,"Block Group 1, Census Tract 302, Adams County, Pennsylvania",1109,86,39,21,31,23,66,39,42,22,76,32,66,31,30,18,53,30,45,27,106,38,105,33,169,38,184,44,51,29,23,14,23,26
1500000US420010302002,420010302002,"Block Group 2, Census Tract 302, Adams County, Pennsylvania",818,74,54,37,42,33,23,18,58,26,41,35,39,22,75,35,30,18,41,26,74,36,107,38,74,30,77,37,20,16,23,18,40,29
1500000US420010303001,420010303001,"Block Group 1, Census Tract 303, Adams County, Pennsylvania",787,93,30,32,0,10,0,10,65,52,9,14,86,59,18,20,16,18,57,38,17,18,139,70,162,56,80,42,36,26,46,34,26,23
1500000US420010303002,420010303002,"Block Group 2, Census Tract 303, Adams County, Pennsylvania",725,113,21,21,7,10,13,15,9,11,20,15,65,54,44,28,34,31,38,31,47,39,95,47,235,92,44,31,20,16,22,22,11,15
1500000US420010304001,420010304001,"Block Group 1, Census Tract 304, Adams County, Pennsylvania",723,137,35,39,77,89,17,27,0,10,0,10,45,53,93,81,0,10,0,10,42,48,135,72,100,66,42,45,44,47,66,60,27,33
1500000US420010304002,420010304002,"Block Group 2, Census Tract 304, Adams County, Pennsylvania",307,69,6,10,10,12,22,17,10,13,22,17,17,18,7,11,14,13,14,20,26,18,44,24,45,21,29,32,22,16,12,10,7,8
1500000US420010304003,420010304003,"Block Group 3, Census Tract 304, Adams County, Pennsylvania",529,123,0,10,24,38,28,42,20,31,24,40,79,90,30,35,0,10,30,40,10,16,64,71,110,77,32,38,62,60,0,10,16,29
1500000US420010304004,420010304004,"Block Group 4, Census Tract 304, Adams County, Pennsylvania",474,125,0,10,23,35,0,10,17,28,0,10,47,43,28,45,49,53,51,49,15,23,35,40,126,95,20,33,18,27,0,10,45,47
1500000US420010304005,420010304005,"Block Group 5, Census Tract 304, Adams County, Pennsylvania",265,79,21,32,0,10,48,40,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,120,59,62,54,14,23,0,10,0,10
1500000US420010305001,420010305001,"Block Group 1, Census Tract 305, Adams County, Pennsylvania",797,55,32,17,12,11,45,34,32,23,46,31,74,41,37,26,17,11,35,26,64,33,112,32,140,37,51,21,22,16,47,23,31,17
1500000US420010305002,420010305002,"Block Group 2, Census Tract 305, Adams County, Pennsylvania",657,62,25,19,21,15,17,16,12,11,21,17,24,16,36,17,51,35,27,16,69,27,58,22,124,39,66,19,49,30,25,14,32,24
1500000US420010306001,420010306001,"Block Group 1, Census Tract 306, Adams County, Pennsylvania",524,56,53,33,24,35,18,19,18,20,32,25,16,18,8,12,47,44,10,15,51,44,65,45,62,36,8,14,79,37,0,10,33,36
1500000US420010306002,420010306002,"Block Group 2, Census Tract 306, Adams County, Pennsylvania",431,75,0,10,0,10,25,24,21,30,35,28,17,19,38,44,13,15,9,14,36,27,67,49,62,33,46,30,38,26,5,11,19,21
1500000US420010306003,420010306003,"Block Group 3, Census Tract 306, Adams County, Pennsylvania",771,104,9,16,7,12,66,40,36,28,62,44,8,12,42,32,34,27,33,25,51,33,83,51,71,37,79,37,107,47,57,33,26,18
1500000US420010307001,420010307001,"Block Group 1, Census Tract 307, Adams County, Pennsylvania",998,125,29,52,0,10,51,49,39,35,38,39,32,36,31,34,69,54,66,54,0,10,168,52,204,85,105,84,68,49,71,55,27,42
1500000US420010307002,420010307002,"Block Group 2, Census Tract 307, Adams County, Pennsylvania",900,166,0,10,48,71,82,99,0,10,33,39,53,46,57,49,37,39,70,53,24,35,93,65,191,92,109,112,0,10,63,58,40,44
1500000US420010307003,420010307003,"Block Group 3, Census Tract 307, Adams County, Pennsylvania",737,160,44,31,27,20,30,24,21,13,90,88,3,6,29,16,50,31,80,79,57,32,46,24,102,36,46,24,35,23,65,81,12,14
1500000US420010308001,420010308001,"Block Group 1, Census Tract 308, Adams County, Pennsylvania",626,60,17,14,20,17,36,19,42,17,27,20,26,20,35,23,36,16,29,17,42,17,71,30,136,33,72,27,22,12,15,11,0,10
1500000US420010308002,420010308002,"Block Group 2, Census Tract 308, Adams County, Pennsylvania",878,61,0,10,42,31,49,31,33,33,11,11,14,12,33,30,39,26,39,22,61,34,95,33,165,46,77,31,76,33,94,41,50,23
1500000US420010308003,420010308003,"Block Group 3, Census Tract 308, Adams County, Pennsylvania",478,43,16,12,6,5,23,13,36,19,15,13,18,9,17,12,21,17,22,12,52,23,92,32,86,29,27,13,31,17,7,6,9,10
