FID,WUDS_ID,CNTY_CODE,CNTY_NAME,OWNERSHIP,GW_SOURCE,SW_SOURCE,INTCONNECT,LAST_DATE,PWS_ID,SHAPE_Leng,SHAPE_Area,PWS_Name,AREA_GEO
0,18705,01,Adams,Authority,Y,Y,N,2/19/2015 0:00:00,7010019,74776.466785800002981,46139404.826300002634525,GETTYSBURG MUNI AUTH,27177175.606499999761581
1,18656,01,Adams,Mobile Home Park,Y,N,N,3/23/2015 0:00:00,7010052,3090.977019739999832,561659.520677000051364,PINE RUN MHP,329978.588664999988396
2,18709,01,Adams,Municipal,Y,N,N,1/1/2003 0:00:00,7010002,14341.517665699999270,1782517.348149999976158,BENDERSVILLE WATER CO,1045366.319009999977425
3,18711,01,Adams,Municipal,Y,N,N,3/8/2017 0:00:00,7010003,7664.130151549999937,3171626.579750000033528,EAST BERLIN AREA JOINT AUTH,1862397.734729999909177
4,18718,01,Adams,Authority,Y,N,N,3/27/2017 0:00:00,7010036,12611.999688399999286,7087901.154799999669194,LAKE MEAD MUNI AUTH,4156425.582359999883920
5,19738,01,Adams,Authority,Y,N,N,3/17/2016 0:00:00,7010012,13626.098032100000637,4668650.402150000445545,BONNEAUVILLE BORO WATER SYS,2751568.944389999844134
6,20270,01,Adams,Institutional Health,Y,N,N,2/28/2017 0:00:00,7010006,146.131209114000001,1329.444289389999994,HILLSIDE REST HOME INC,785.079951582000035
7,19617,03,Armstrong,Authority,Y,N,Y,1/1/2003 0:00:00,5030027,17956.019257899999502,10650107.867100000381470,WORTHINGTON W FRANKLIN JT MUNI AUTH,6089053.674309999682009
8,18758,03,Armstrong,Municipal,N,Y,Y,1/1/2003 0:00:00,5030005,9991.051502579999578,2864696.074260000139475,FORD CITY BORO,1641459.935409999918193
9,18366,03,Armstrong,Institutional Health,Y,N,N,1/1/2003 0:00:00,5030034,3960.434562729999925,944708.820001999964006,SUGAR CREEK REST HOME,539249.141915000043809
10,18768,03,Armstrong,Authority,N,N,Y,1/1/2003 0:00:00,5030024,23912.847334099998989,10296533.209599999710917,MAHONING TWP MUNI AUTH,5864858.944040000438690
11,18772,03,Armstrong,Private Investor Owned,N,Y,N,1/1/2003 0:00:00,5030016,5241.170885389999967,1309056.875190000049770,TEMPLETON WATER CO,746798.146794999949634
12,19751,03,Armstrong,Authority,Y,N,Y,1/1/2003 0:00:00,5030037,8864.858544149999943,479445.909594999975525,BRADYS BEND TWP W AND S AUTH,272872.363894000009168
13,18802,05,Bedford,Municipal,Y,N,N,1/1/2003 0:00:00,4050030,8198.288627809999525,695428.344246000051498,OSTERBURG WATER CO,405587.597652999975253
14,18804,05,Bedford,Municipal,Y,N,N,1/1/2003 0:00:00,4050032,4674.453461000000061,835647.718840999994427,RAINSBURG BORO,491298.572526999982074
15,18805,05,Bedford,Authority,N,Y,N,3/17/2016 0:00:00,4050021,9160.466645700000299,4550523.187169999815524,SAXTON BORO MUNI AUTH,2650456.488700000103563
16,18810,05,Bedford,Authority,Y,N,N,7/1/2015 0:00:00,4050023,8902.653984709999349,4428414.199190000072122,WOODBURY WATER AUTH,2578550.032399999909103
17,20049,05,Bedford,Mobile Home Park,Y,N,N,3/25/2015 0:00:00,4050009,1850.932558890000109,159073.125066000007791,HILLSIDE TERRACE MHP,92962.835489399993094
18,18807,05,Bedford,Association,Y,N,N,2/19/2016 0:00:00,4050035,16787.003449299998465,1270103.830250000115484,WATERSIDE LOYSBURG WATER,740660.076571000041440
19,18815,06,Berks,Authority,Y,Y,N,3/19/2015 0:00:00,3060035,22520.591818600001716,8265664.453619999811053,HAMBURG BORO MUNI AUTH,4765889.324479999952018
20,18814,06,Berks,Municipal,Y,N,N,1/1/2003 0:00:00,3060029,18997.720126799998980,5333303.651510000228882,FLEETWOOD BORO,3084596.533350000157952
21,18274,06,Berks,Apartments,Y,N,N,1/1/2003 0:00:00,3060036,1125.876656579999917,75574.307806099997833,WILL O HILL APTS,43850.628011499997228
22,18296,06,Berks,Mobile Home Park,Y,N,N,1/1/2003 0:00:00,3060061,3685.333876369999871,529154.690486000035889,KEYSTONE EAST LINCOLN WOOD MHP,307527.985173999972176
23,18318,06,Berks,Institutional Health,Y,N,N,1/1/2003 0:00:00,3060092,3493.419390600000042,325659.386156999971718,BETHANY CHILDRENS HOME,188929.873839000007138
24,18329,06,Berks,Institutional Health,Y,N,N,2/10/2016 0:00:00,3060031,790.633913086999996,36655.745984900000622,LAUREL HEALTH RESOURCES INC,21135.701562400001421
25,18823,06,Berks,Municipal,Y,N,N,4/5/2006 0:00:00,3060085,7047.086049669999738,1626499.714339999947697,BERNVILLE BORO,941289.974980000057258
26,18829,06,Berks,Mobile Home Park,Y,N,N,3/28/2015 0:00:00,3060043,3857.667092119999779,989115.858375999960117,HIGHLAND ESTATES MHP,569922.556011999957263
27,18832,06,Berks,Mobile Home Park,Y,N,N,3/3/2016 0:00:00,3060095,2728.301506750000044,430446.517625999986194,MOUNTAIN VILLAGE ESTATES MHP,248846.508670000010170
28,18844,06,Berks,Municipal,Y,N,Y,2/17/2017 0:00:00,3060072,10761.845024199999898,3547042.626999999862164,TOPTON BORO WATER SYS,2048599.288239999907091
29,18834,06,Berks,Authority,Y,N,N,3/30/2015 0:00:00,3060096,6158.549170539999977,1845134.119900000048801,LYONS BORO MUNI AUTH,1066379.009300000034273
30,18841,06,Berks,Municipal,Y,N,N,1/1/2003 0:00:00,3060100,7457.956694700000298,2279135.674159999936819,SHOEMAKERSVILLE BORO,1316404.911850000033155
31,19993,06,Berks,Mobile Home Park,Y,N,N,1/1/2003 0:00:00,3060044,1445.759790800000019,91850.857726899994304,SITTLERS MHP,53000.486481300002197
